code,name,program
MES381,Measurement and Instrumentation,Mechanical Engineering
EVS212,Environmental Chemistry Laboratory,Environmental Technology
ETS322,Electronic Circuits II,Telecommunications
ETS316,Circuit Analysis,Telecommunications
EMS443,Renewable Energy Resouces,Energy Technology
EVS314,Water Quality Management,Environmental Technology
ETS441,Communication Electronics,Electrical Engineering
ETS493,Topics in Electrical Engineering I (Wireless Communications),Telecommunications
ETS442,Microwave Principles,Electrical Engineering
CES333,Soil Mechanics Laboratory,Civil Engineering
ETS391,Electrical Engineering Project I,Electrical Engineering
ETS320,Electronic Circuits Laboratory,Telecommunications
ETS481,Introduction to Robotics,Telecommunications
ETS394,Computer Interfacing,Telecommunications
EVS421,Water Engineering,Environmental Technology
EMS381,Measurement and Instrumentation,Energy Technology
EMS494,Energy Seminar,Energy Technology
GTS131,Integrated Life Science,Common Studies
ITS304,Introduction to Decision Support Systems,Information Technology
ES898,Master Thesis,Management Technology
ES898,Master Thesis,Industrial  Engineering
ES899,Doctoral Dissertation,Industrial  Engineering
IE302,Engineering Statistics,Industrial  Engineering
GMS211,Fundamental Financial Accounting,Management Technology
ME333,Design of Machine Elements,Mechanical Engineering
ES898,Master Thesis,Civil Engineering
ES898,Master Thesis,Electrical Engineering
ES899,Doctoral Dissertation,Building Facilities Engineering
ES899,Doctoral Dissertation,Civil Engineering
ES899,Doctoral Dissertation,Electrical Engineering
ES899,Doctoral Dissertation,Information Technology
ES899,Doctoral Dissertation,Mechanical Engineering
ES899,Doctoral Dissertation,Energy Technology
ES899,Doctoral Dissertation,Environmental Technology
ES804,Selected Topic,Mechanical Engineering
ES804,Selected Topic,Mechatronics
ES803,Special Study,Civil Engineering
ES803,Special Study,Telecommunications
ES803,Special Study,Industrial  Engineering
ES803,Special Study,Mechanical Engineering
ES803,Special Study,Mechatronics
ETS493,Topics in Electrical Engineering I (Realtime and Embeded Systems),Telecommunications
ETS371,Digital Circuits,Telecommunications
ITS011,Numerical Computation,Information Technology
ETS310,Basic Electrical Engineering Laboratory,Telecommunications
CES301,Engineering Geology,Civil Engineering
CES362,Introduction to Photogrammetry and Remote Sensing,Civil Engineering
ITS023,Information Technology III,Information Technology
ETS361,Measurements and Instrumentation,Telecommunications
BFS304,Durability of Building Materials,Building Facilities Engineering
ITS021,Information Technology II,Information Technology
ETS324,Electronic Devices and Basic Circuits,Telecommunications
ETS472,Digital Signal Processing,Electrical Engineering
EVS323,Building Sanitation,Environmental Technology
ITS018,Computer Network Architecture and Protocols,Information Technology
EMS496,Senior Projects,Energy Technology
EMS343,Thermal Environment Control,Energy Technology
ES898,Master Thesis,Common Studies
ES899,Doctoral Dissertation,Common Studies
EPS433,Special Topic in Electrical Power Engineering I,Communications
EPS434,Special Topic in Electrical Power Engineering II,Communications
BFS401,Automatic Control for Buildings,Building Facilities Engineering
BFS492,Water Supply and Sanitary Engineering Laboratory,Building Facilities Engineering
ITS224,Numerical Computation,Information Technology
EC210,Introductory Economics,Common Studies
ETS475,Digital Image Processing,Electrical Engineering
ETS495,Topics in Electrical Engineering II (Fundamental Image Processing),Electrical Engineering
EMS497,Special Topic in Energy Technology I,Energy Technology
EMS413,Advanced Thermodynamics,Energy Technology
EPS324,Electrical Machines I,Communications
MES495,Special Topic II in Mechanical Engineering,Mechanical Engineering
ES803,Special Study,Common Studies
ES804,Selected Topic,Common Studies
ITS028,Information Technology Training,Information Technology
GMS303,Management Technology Training,Management Technology
ETS311,Circuit Analysis I,Telecommunications
ITS006,Programming Laboratory I,Information Technology
ETS313,Electrical Engineering Mathematics,Telecommunications
ETS301,Basic Circuit Analysis,Telecommunications
IES308,Engineering Tools and Operations,Industrial  Engineering
ITS020,Information Technology I Laboratory,Information Technology
ETS314,Computer and Numerical Tools in Electrical Engineering,Telecommunications
ETS315,Probability and Random Processes,Telecommunications
ETS370,Digital Circuit Laboratory,Telecommunications
ITS030,Discrete Mathematics,Information Technology
EPS331,Power Systems,Communications
ETS381,Feedback Control Systems,Telecommunications
CES496,Water and Wastewater Engineering,Civil Engineering
BFS403,Water Supply and Sanitary Engineering,Building Facilities Engineering
CES445,Structural Dynamics,Civil Engineering
EPS323,Electrical Machines,Communications
ETS317,Computer Graphics and Tools in Electrical Engineering,Telecommunications
ETS452,Digital Communication Systems,Electrical Engineering
ITS315,Management Information Systems,Information Technology
ITS031,Introduction to Data Communications,Information Technology
ITS041,Foundation of Information Systems,Information Technology
ITS110,Advance Computer Networks,Information Technology
ITS116,Tele-services and Services Architecture,Information Technology
ITS026,Senior Project I,Information Technology
ETS325,Analog Circuits,Telecommunications
MCS322,Introduction to Mechatronics,Mechanical Engineering
ETS462,Antennas,Electrical Engineering
SCS140M,Pre-Mathametics and Sciences,Common Studies
ITS010,Data Base Management Systems,Information Technology
BFS305,Fluid Machines for Buildings,Building Facilities Engineering
BFS406,"Building Protection, Repair and Maintenance",Building Facilities Engineering
BFS494,Seminar,Building Facilities Engineering
ETS353,Data Communications,Electrical Engineering
ITS216,Intelligent Systems,Information Technology
ETS391,Electrical Engineering Project I,Telecommunications
ITS324,Foundation of Information Systems,Information Technology
EPS325,Electrical Machines II,Communications
TCS477,Signal Processing for Communication Systems,Communications
EL310,English for Engineering II,Common Studies
ETS304,Basic Electrical Engineering Laboratory,Telecommunications
ITS003,Data Structures and Algorithms,Information Technology
ITS014,Operating System,Information Technology
ETS321,Electronic Circuits I,Telecommunications
ETS372,Signals and Systems,Telecommunications
ETS302,Basic Electronic Circuits,Telecommunications
IES311,Ergonomics,Industrial  Engineering
ITS022,Information Technology II Laboratory,Information Technology
ITS024,Information Technology III Laboratory,Information Technology
ITS015,Compiler Design,Information Technology
ETS332,Principles of Communications,Telecommunications
MES392,Mechanical Engineering Laboratory II,Mechanical Engineering
EPS332,Electrical System Design,Communications
EMS391,Electrical Energy Laboratory,Energy Technology
ETS392,Electrical Engineering Project II,Electrical Engineering
ITS017,Computer Architectures,Information Technology
ITS209,Object Oriented Programming,Information Technology
ITS115,Internet Technologies and Applications,Information Technology
ITS501,Electronic Commerce,Information Technology
ITS316,Data Warehouses and Data Mining,Information Technology
ITS027,Senior Project II,Information Technology
ITS215,Realtime System Engineering,Information Technology
ITS042,Microprocessor Applications,Information Technology
ITS043,System Analysis and Design,Information Technology
BFS402,Electrical System Design in Buildings,Building Facilities Engineering
MES404,Senior Project,Mechanical Engineering
EPS451,High Voltage Engineering,Communications
EPS305,Electrical Power Engineering Laboratory,Communications
CES492,Durability of Concrete,Civil Engineering
BFS495,Building Facilities Engineering Project,Building Facilities Engineering
ITS313,Topics in Computer Information Systems II,Information Technology
TCS441,Communication Electronics,Communications
EPS308,Electrical Machines Laboratory,Communications
BFS391,Building Facilities Engineering Laboratory,Civil Engineering
ITS330,Object Oriented Programming,Information Technology
ITS465,Information Technology in Business,Information Technology
TCS493,Topics in Telecommunications I (Computer Vision),Telecommunications
SCS140P,Pre-Mathematics and Sciences,Common Studies
ETS300,Electrical Engineering Training,Electrical Engineering
GMS404,Senior Project,Management Technology
ETS303,Basic Electrical Engineering,Communications
MES391,Mechanical Engineering Laboratory I,Mechanical Engineering
SCS140G,Pre-General Sciences,Common Studies
EPS471,Power Electronics,Communications
ES804,Selected Topic,Building Facilities Engineering
EPS431,Electrical Power Engineering Project I,Communications
IES333,Computer Integrated Manufacturing,Industrial  Engineering
EPS443,Power System Dynamics and Stability,Communications
ES803,Special Study,Building Facilities Engineering
TCS462,Antennas,Communications
ITS210,Topics in Software Technology I,Information Technology
ITS312,Topics in Computer Information Systems I,Information Technology
EPS421,Electric Drives,Communications
TCS431,Industrial Electronics,Communications
EPS444,Power System Operation and Control,Communications
ITS411,Advanced Computer Networks,Information Technology
ITS421,Intelligent Systems,Information Technology
MES332,Solid Mechanics II,Mechanical Engineering
ETS382,Microprocessors,Telecommunications
ETS331,Electromagnetics,Telecommunications
CES372,Mechanics of Solids II,Civil Engineering
GMS231,Introduction to Quantitative Analysis,Management Technology
EPS304,Basic Electromechanical Energy Conversion Laboratory,Electrical Power Engineering
EPS442,Power System Protection,Communications
IES324,Production Sequencing and Scheduling,Industrial  Engineering
TCS391,Telecommunications Project I,Communications
EPS432,Electrical Power Engineering Project II,Communications
TCS495,Topics in Telecommunications II    (Java Programing),Communications
ITS414,Realtime System Engineering,Information Technology
ITS455,Software Engineering,Information Technology
EPS300,Electrical Power Engineering Training,Communications
MAS256,Numerical Methods,Mechanical Engineering
EVS315,Air and Noise Pollution Control,Environmental Technology
EVS312,Environmental Technology Laboratory,Environmental Technology
EVS332,Pollution Prevention,Environmental Technology
EVS333,Energy and  Environment,Environmental Technology
CES449,Tunneling and Underground Excavations,Civil Engineering
MTS222,Materials Science,Management Technology
MES403,Seminar,Mechanical Engineering
TCS316,Circuit Analysis,Communications
EVS335,Environmental Quality Management,Environmental Technology
MTS221,Mechanics for Technologists,Management Technology
INS468,Real-time and Embedded Systems,Communications
EVS336,Principles of Natural Resource Management,Environmental Technology
TCS454,Fiber Optics,Communications
TCS392,Telecommunications Project II,Communications
CHS321,Introduction of Cell Biology,Chemical Engineering
CHS424,Engineering Properties of Biomaterials,Chemical Engineering
CES425,Construction Methods and Technologies,Civil Engineering
EVS211,Environmental Chemistry,Environmental Technology
CES313,Concrete Engineering,Civil Engineering
CES332,Soil and Foundation Engineering,Civil Engineering
GMS201,Principles of Management,Management Technology
EVS331,Social Aspect of Environmental Management,Environmental Technology
EVS432,Solid and Hazardous Waste Management,Environmental Technology
EVS334,Fundamental of Industrial Operations and Processes,Environmental Technology
GMS313,Management Accounting,Management Technology
GMS221,Business Finance,Management Technology
EVS316,Advanced Environmental Technology Laboratory,Environmental Technology
MES494,Special Topic I in Mechanical Engineering,Mechanical Engineering
TCS495,Topics in Telecommunications II   (Optical sensor technology),Communications
ES898,Master Thesis,Computer Science
ES319,Biology for Environmental Engineers,Environmental Technology
ES211,Ecology,Environmental Technology
ES428,Urbanisation and Urban Environment,Environmental Technology
ES332,Environmental Economics,Environmental Technology
TU130,Integrated Science and Technology,Common Studies
EVS413,Environmental Technology Seminar,Environmental Technology
GMS241,Principles of Marketing,Management Technology
EVS431,Environmental Health and Sanitation,Environmental Technology
ES802,Research Methodology,Common Studies
IES372,Materials Management and Inventory Control,Industrial  Engineering
EVS441,Selected Topics in Environmental Technology I,Environmental Technology
SCS140M,Pre-Mathematics and Sciences,Common Studies
CHS351,Unit Operations I,Chemical Engineering
CHS403,Senior Project I,Chemical Engineering
CSS401,Senior Project I,Computer Science
SCS140P,Pre-Physics,Common Studies
MTS401,Senior Project,Management Technology
ES322,Water and Wastewater Analysis,Environmental Technology
ES431,Environmental Impact Assessment,Environmental Technology
ES432,Environmental Law,Environmental Technology
INS362,Electronic Instrumentation,Communications
EVS414,Senior Project,Environmental Technology
TCS324,Electronic Devices and Basic Circuits,Communications
CES424,Bridge Engineering,Civil Engineering
TCS318,"Data Structures, Algorithms, and Object Oriented Programming",Communications
CHS323,Biochemistry for Engineers,Chemical Engineering
CHS333,Kinetics of Enzymatic System,Chemical Engineering
TCS319,Java Programming,Communications
CSS402,Senior Project II,Computer Science
EVS213,Water and Wastewater Analysis Laboratory,Environmental Technology
SE610,Simulation Modeling and Analysis in Supply Chain,Logistics and Supply Chain Systems Engineering
EVS442,Selected Topics in Environmental Technology II,Environmental Technology
TCS305,Basic Electrical Engineering with Applications,Communications
EL070,English Course I,Common Studies
ES247,Environmental System and Data Analysis,Environmental Technology
INS381,Feedback Control Systems,Communications
TCS310,Basic Electrical Engineering Laboratory,Communications
TCS371,Digital Circuits,Communications
TCS317,Computer Graphics and Tools in Electrical Engineering,Communications
MCS382,Computer Interfacing,Mechanical Engineering
MCS451,Introduction to Robotics,Mechanical Engineering
TCS313,Electrical Engineering Mathematics,Communications
TCS325,Analog Circuits,Communications
TCS370,Digital Circuit Laboratory,Communications
MTS401,Management Technology Project I,Management Technology
TCS315,Probability and Random Processes,Communications
TCS493,Topics in Telecommunications I,Communications
CHS313,Statistics for Bioengineering,Chemical Engineering
CHS332,Bioreactor Design,Chemical Engineering
CHS406,Topics in Chemical Engineering II,Chemical Engineering
CHS453,Unit Operations in Biochemical Engineering,Chemical Engineering
MTS408,Engineering Management Project I,Management Technology
ECS316,Circuit Analysis,Electronics and Communication Engineering
ECS317,Computer Graphics and Tools in Electrical Engineering,Electronics and Communication Engineering
SE617,Accounting and Financial Management for Logistics and Supply Chain Systems,Logistics and Supply Chain Systems Engineering
IES306,Senior Project II,Industrial  Engineering
EVS313,Environmental Technology Training,Environmental Technology
INS380,Feedback Control Labboratory,Communications
MCS321,Real-time and Embedded Systems,Mechanical Engineering
TCS304,Basic Electrical Engineering Laboratory,Communications
TCS451,Data Communications and Networks,Communications
TCS442,Microwave Principles,Communications
TCS382,Microprocessors,Communications
CES304,Engineering Geology,Civil Engineering
TCS455,Mobile Communications,Communications
TCS331,Electromagnetics,Communications
TCS372,Signals and Systems,Communications
TCS472,Digital Signal Processing,Communications
ITS328,Microprocessor Applications,Information Technology
ITS401,Senior Project I,Information Technology
ITS402,Senior Project II,Information Technology
TCS332,Principles of Communications,Communications
TCS475,Digital Image Processing,Communications
CHS404,Senior Project II,Chemical Engineering
CHS405,Topics in Chemical Engineering I,Chemical Engineering
TCS397,Senior Project,Communications
MTS402,Management Technology Project II,Management Technology
MTS409,Engineering Management Project II,Management Technology
MTS452,Computerized Management Technology Laboratory,Management Technology
ECS310,Basic Electrical Engineering Laboratory,Electronics and Communication Engineering
ECS318,"Data Structures, Algorithms, and Object Oriented Programming",Electronics and Communication Engineering
ECS372,Signals and Systems,Electronics and Communication Engineering
MES494,Special Topic in Mechanical Engineering I,Mechanical Engineering
TCS300,Telecommunications Training,Communications
MES404,Senior Project II,Mechanical Engineering
EVS150,Environmental Studies,Environmental Technology
TCS301,Basic Circuit Analysis,Communications
TCS320,Electronic Circuits Laboratory,Communications
TCS452,Digital Communication Systems,Communications
CHS322,Cell Biology Laboratory,Chemical Engineering
TCS395,Seminar,Communications
TCS396,Project Development,Communications
TCS456,Optical Communications,Communications
MCS352,Microcontroller and Computer Interfacing,Mechatronics
MTS403,Senior Project Development,Management Technology
ET650,Special Topic in Mechanical Engineering,Engineering Technology
ET651,Current Topics in Mechanical Engineering,Engineering Technology
CHS426,General Food Science,Chemical Engineering
ECS313,Electrical Engineering Mathematics,Electronics and Communication Engineering
ET614,Advanced Chemical Kinetics and Reactor Design,Engineering Technology
TCS398,Senior Project,Communications
IES322,Operations Research II,Industrial  Engineering
MES413,Advanced Thermodynamics,Mechanical Engineering
CES404,Civil Engineering Project,Civil Engineering
TCS302,Basic Electronic Circuits,Communications
EPS306,Basic Electrical Machines and Power Systems,Telecommunications
ITS222,Principles of Programming Languages,Information Technology
ITS460,Human Interface Design,Information Technology
CSS221,Computer Graphics and Multimedia,Computer Science
ET640,Special Topic in Industrial Engineering and Manufacturing Systems,Engineering Technology
CHS324,Pharmaceutical Industry and Technology,Chemical Engineering
CHS334,Bioreactor Design and Enzymatic System,Chemical Engineering
CHS356,Transport Phenomena,Chemical Engineering
CHS358,Chemical Processing Laboratory,Chemical Engineering
CHS463,Energy Technology and Management,Chemical Engineering
ECS319,Java Programming,Electronics and Communication Engineering
IES402,Special Studies in Industrial Engineering I,Industrial  Engineering
IES403,Special Studies in Industrial Engineering II,Industrial  Engineering
ET653,Optimization Methods in Mechanical Engineering,Engineering Technology
ET654,Advanced Heat Transfer,Engineering Technology
ET656,Computational Fluid Dynamics,Engineering Technology
BFS307,Engineering Materials,Building Facilities Engineering
CES446,Port and Airport Engineering,Civil Engineering
ITS321,Discrete Mathematics,Information Technology
ITS325,Computer Architectures,Information Technology
ITS326,Compiler Design,Information Technology
EMS443,Renewable Energy Resources,Mechanical Engineering
CHS454,Chemical Engineering Laboratory,Chemical Engineering
ET600,Numerical Methods for Engineers,Engineering Technology
SE600,Decision Making and Optimization,Logistics and Supply Chain Systems Engineering
CHS459,Industrial Chemical Processes,Chemical Engineering
ECS305,Basic Electrical Engineering with Applications,Electronics and Communication Engineering
ECS395,Seminar,Electronics and Communication Engineering
SE614,Warehouse Design and Operations,Logistics and Supply Chain Systems Engineering
ET622,Finite Element Methods,Engineering Technology
MTS405,Project Proposal Development for Management Technology,Management Technology
ITS033,Programming and Algorithms,Information Technology
EMS473,Energy Economics,Mechanical Engineering
MCS361,Mechatronic Instrumentation,Mechanical Engineering
ES801,Advanced Engineering Mathematics,Common Studies
BFS309,Durability of Construction Materials,Building Facilities Engineering
ITS225,Operating System,Information Technology
ITS453,Natural Language Processing,Information Technology
ITS481,Topics in Hardware and Communications I,Information Technology
ICT600,Computational Mathematics,Information and Communication Technology for Embedded Systems
ET620,Special Topic in Civil Engineering,Engineering Technology
ET621,Current Topics in Civil Engineering,Engineering Technology
ECS321,Electronic Circuits I,Electronics and Communication Engineering
ECS331,Electromagnetics,Electronics and Communication Engineering
ECS361,Electrical Measurement and Instrumentation,Electronics and Communication Engineering
SE619,Current Topics in Logistics and Supply Chain Systems,Logistics and Supply Chain Systems Engineering
ET626,"Inspection, Maintenance and Retrofit of Concrete Structures",Engineering Technology
MES495,Special Topic in Mechanical Engineering II,Mechanical Engineering
ITS460,Human Computer Interface Design,Information Technology
ITS468,3D Computer Animation,Information Technology
EL210,English for Engineering I,Common Studies
MTS406,Senior Project for Management Technology,Management Technology
EMS312,Combustion and Emission Control,Energy Technology
EMS471,Electrical Energy Management,Mechanical Engineering
EMS472,Thermal Energy Management,Mechanical Engineering
ITS392,Business Application Programming,Information Technology
ITS223,Programming Laboratory I,Information Technology
TCS303,Basic Electrical Engineering,Communications
ITS425,Management Information Systems,Information Technology
ES806,Research Seminar,Common Studies
ES800,Master's Thesis,Engineering Technology
ECS303,Basic Electrical Engineering,Electronics and Communication Engineering
ECS304,Basic Electrical Engineering Laboratory,Electronics and Communication Engineering
SE615,Operations Scheduling,Logistics and Supply Chain Systems Engineering
ICT740,Communication,Information and Communication Technology for Embedded Systems
ET618,Biochemical Engineering Fundamentals,Engineering Technology
MTS403,Project Proposal Development for Engineering Management,Management Technology
ET660,Special Topic in Sustainable Energy and Environment,Engineering Technology
ES900,Doctoral Dissertation (CLOSED),Doctor of Philosophy
ET661,Current Topics in Sustainable Energy and Environment,Engineering Technology
ITS050,Introduction to Computers and Programming,Information Technology
IES335,Metrology,Industrial  Engineering
EPS301,Basic Electromechanical Energy Conversion,Telecommunications
EMS211,Thermofluids,Mechanical Engineering
EMS392,Thermal Energy Laboratory,Mechanical Engineering
IES365,"Jig, Fixture and Mold Design",Industrial  Engineering
ITS226,Programming Laboratory II,Information Technology
ITS451,Artificial Intelligence,Information Technology
CSS222,Object-Oriented Programming in JAVA,Computer Science
MTS432,Logistics Management,Management Technology
GTS132,Introduction to Life Sciences,Common Studies
ES805,Research Methodology,Common Studies
ET601,Computer-Aided Engineering,Engineering Technology
ET611,Current Topics in Chemical Engineering,Engineering Technology
CHS485,Special Study in Chemical Engineering I,Chemical Engineering
CHS486,Special Study in Chemical engineering II,Chemical Engineering
SE601,Logistics and Supply Chain Systems,Logistics and Supply Chain Systems Engineering
SE613,Transportation Systems Design and Analysis,Logistics and Supply Chain Systems Engineering
SE616,Design of Experiments in Supply Chain Systems,Logistics and Supply Chain Systems Engineering
SE618,Special Topic in Logistics and Supply Chain Systems,Logistics and Supply Chain Systems Engineering
ICT710,Software Design Exercise For Embedded Systems,Information and Communication Technology for Embedded Systems
ICT730,Hardware Design Exercise For Embedded Systems,Information and Communication Technology for Embedded Systems
ICT760,Intelligence Processing,Information and Communication Technology for Embedded Systems
ICT770,Environment and Control Systems,Information and Communication Technology for Embedded Systems
MTS404,Senior Project for Engineering Management,Management Technology
ECS481,Introduction to Robotics,Electronics and Communication Engineering
IES402,CLOSED,Industrial  Engineering
IES403,CLOSED,Industrial  Engineering
ES899,Doctoral Dissertation,Doctor of Philosophy
ET668,Pollution Control and Management,Engineering Technology
ES804,Selected Topic,Chemical Engineering
EPS304,Basic Electromechanical Energy Conversion Laboratory,Communications
ITS493,Information Organization and Retrieval,Information Technology
ET613,Advanced Transport Phenomena,Engineering Technology
ET612,Advanced Thermodynamics for Chemical Engineering,Engineering Technology
SE602,Production Logistics,Logistics and Supply Chain Systems Engineering
SE611,Procurement Logistics,Logistics and Supply Chain Systems Engineering
ICT700,Software for Embedded Systems,Information and Communication Technology for Embedded Systems
ICT720,Hardware for Embedded Systems,Information and Communication Technology for Embedded Systems
ICT750,Signal Processing,Information and Communication Technology for Embedded Systems
ET665,Energy Planning and Policy,Engineering Technology
ES898,Master Thesis,Master of Science
CSS423,Bioinformatics,Computer Science
MTS336,Operations Scheduling,Management Technology
ET610,Special Topic in Chemical Engineering,Engineering Technology
ET616,Advances in Polymer Science and Technology,Engineering Technology
CSS495,Special Topic in Computer Science I,Computer Science
CSS496,Special Topic in Computer Science II,Computer Science
ECS425,Digital Integrated Circuits,Electronics and Communication Engineering
ICT800,Master Thesis,Information and Communication Technology for Embedded Systems
ITS496,Special Topic in Information Technology II,Information Technology
JP251,Japanese Society and Culture,Common Studies
CSS223,Principles of Programming Languages,Computer Science
ITS496,Special Topics in Information Technology II,Information Technology
ET662,Energy and Environmental Impact Assessment,Engineering Technology
GTS211,Differential Equations and Numerical Methods,Common Studies
ITS393,Networking and Collaborative Computing,Information Technology
JP171,Japanese1,Common Studies
CSS323,Compiler Design,Computer Science
ECS216,Circuit Analysis,Electronics and Communication Engineering
CHS359,Computer Application for Chemical Engineering,Chemical Engineering
ET682,Polymeric Materials,Engineering Technology
MES351,Engineering Dynamics,Mechanical Engineering
MES331,Solid Mechanics I,Mechanical Engineering
MES310,Thermodynamics,Mechanical Engineering
CES371,Mechanics of Solids I,Civil Engineering
MES361,Automotive Engineering,Mechanical Engineering
IES395,Special Topics in Industrial Engineering I,Industrial  Engineering
IES396,Special Topics in Industrial Engineering II,Industrial  Engineering
CHS211,Organic Chemistry for Engineers,Chemical Engineering
CSS411,Software Process and Quality Assurance,Computer Science
CSS412,Software Architecture,Computer Science
CSS421,Pattern Recognition,Computer Science
CSS422,Knowledge Management and Discovery,Computer Science
MTS352,Work Design and Analysis,Management Technology
JP172,Japanese 2,Common Studies
MTS491,Special Study in Management Technology I,Management Technology
CHS373,Polymer Processing,Chemical Engineering
SE800,Masters Thesis,Logistics and Supply Chain Systems Engineering
ITS495,Special Topic in Information Technology I,Information Technology
MES405,Special Study in Mechanical Engineering I,Mechanical Engineering
MES406,Special Study  in Mechanical Engineering II,Mechanical Engineering
MTS302,Extended Management Technology Training,Management Technology
MES393,Thermal Energy Laboratory,Mechanical Engineering
MES471,Electrical Energy Management,Mechanical Engineering
ITS227,Algorithm Design,Information Technology
CSS221,Computer Graphics and Applications,Computer Science
CSS225,Operating System,Computer Science
CES351,Concrete Technology,Civil Engineering
IES321,Operations Research I,Industrial  Engineering
IES305,Senior Project I,Industrial  Engineering
ITS322,Database Management Systems,Information Technology
ITS391,Data Structures for Information Processing,Information Technology
ITS491,Information System Development,Information Technology
ITS492,Intelligent Information Systems,Information Technology
CHS212,Physical Chemistry for Engineers,Chemical Engineering
CSS321,Theory of Computation,Computer Science
CSS413,Software Verification and Validation,Computer Science
